graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","1.642","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","0.627","18","6.7055e-8","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","1.544","0","3.7253e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","0.62","17","3.2783e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","6","7","2.058","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","6","7","0.785","23","1.1176e-7","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","6","7","2.048","0","1.7881e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","6","7","0.794","23","1.7881e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","1.558","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.583","17","1.3411e-7","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.174","0","3.2783e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.035","1","3.2037e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","1.563","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.582","17","1.3411e-7","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.172","0","3.2783e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","6","0.037","1","3.2037e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","1.803","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","0.685","20","1.3411e-7","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","1.623","0","3.5763e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","1","5","7","0.652","18","4.0233e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","1.285","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","0.48","14","5.9605e-8","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","1.395","0","3.7998e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","0.485","14","7.4506e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","1.877","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","0.75","21","7.4506e-8","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","1.705","0","1.4901e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","10","0.648","19","1.1921e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","8","1.559","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","8","0.581","17","7.4506e-8","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","8","1.451","0","3.3528e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","8","0.549","16","2.4587e-7","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","11","1.624","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","11","0.667","20","0.0000013784","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","11","1.637","0","4.8429e-7","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","6","11","0.636","19","0.0000010915","pagerankCuda [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","5","8","2.067","0","0","pagerankNvgraph [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","5","8","0.784","23","3.7253e-8","pagerankCuda [static]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","5","8","2.159","0","8.9407e-8","pagerankNvgraph [dynamic]"
"min-1DeadEnd","5","6","1.577","0","0","pagerankNvgraph","5","5","8","0.816","24","9.6858e-8","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","3.273","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","1.004","34","7.3388e-7","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","4.092","0","8.4005e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","1.281","43","3.9116e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","2.916","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","0.928","31","8.9407e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","2.734","0","5.2154e-8","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","0.851","29","8.9407e-8","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","3.012","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","0.957","32","8.9407e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","3.01","0","2.4587e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","0.948","32","2.3469e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","4.097","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","1.242","42","9.574e-7","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","3.283","0","6.3516e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","8","13","1.031","34","2.2724e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","9","13","4.185","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","9","13","1.254","44","5.5879e-7","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","9","13","4.063","0","3.9861e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","1","9","13","1.134","43","8.9407e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","17","1.722","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","17","0.472","18","5.2154e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","17","1.631","0","2.645e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","17","0.442","17","2.2352e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","16","2.534","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","16","0.695","27","0","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","16","2.175","0","6.1467e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","16","0.564","22","6.035e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","15","4.157","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","15","1.134","44","7.2643e-7","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","15","4.146","0","1.1176e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","9","15","1.131","43","9.9465e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","16","2.797","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","16","0.772","30","9.3132e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","16","2.879","0","2.8685e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","16","0.774","30","4.3958e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","15","2.722","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","15","0.746","29","9.4995e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","15","2.801","0","1.0803e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","5","8","15","0.748","29","6.0163e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","2.614","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","0.724","28","4.2841e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","2.618","0","6.2212e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","0.72","28","5.6438e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","8","19","1.621","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","8","19","0.449","17","7.4506e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","8","19","1.799","0","3.837e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","8","19","0.495","19","4.4703e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","5.234","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","1.412","55","0.0000015013","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","5.961","0","3.4459e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","1.612","63","8.9034e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","2.432","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","0.668","26","6.333e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","2.435","0","1.1921e-7","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","19","0.646","25","6.7055e-7","pagerankCuda [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","21","1.446","0","0","pagerankNvgraph [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","21","0.387","15","8.1956e-8","pagerankCuda [static]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","21","1.441","0","7.4506e-8","pagerankNvgraph [dynamic]"
"min-2SCC","8","12","3.947","0","0","pagerankNvgraph","10","9","21","0.389","15","7.4506e-8","pagerankCuda [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","3.788","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.056","40","5.0664e-7","pagerankCuda [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","3.427","0","5.4855e-7","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","0.894","35","6.2026e-7","pagerankCuda [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","4.162","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.161","44","7.2084e-7","pagerankCuda [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","4.429","0","0.0000042832","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.2","47","0.000005044","pagerankCuda [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","4.174","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.15","44","6.6217e-7","pagerankCuda [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","3.623","0","1.1083e-7","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","0.955","37","0.000001003","pagerankCuda [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","22","36","4.157","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","22","36","1.131","44","6.1933e-7","pagerankCuda [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","22","36","3.991","0","3.9395e-7","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","22","36","1.055","41","8.1863e-7","pagerankCuda [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","4.246","0","0","pagerankNvgraph [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.134","44","7.5623e-7","pagerankCuda [static]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","3.887","0","0.000003973","pagerankNvgraph [dynamic]"
"min-4SCC","21","35","4.278","0","0","pagerankNvgraph","1","21","36","1.062","40","0.0000054017","pagerankCuda [dynamic]"
